date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,9.85,10.05,9.8,9.85,0.51,171292,3403.41,251
2005-01-04 00:00:00+00,9.9,9.9,9.7,9.8,-0.51,117286,2301.02,210
2005-01-05 00:00:00+00,9.7,9.75,9.6,9.7,-1.02,115907,2242.41,201
2005-01-06 00:00:00+00,9.6,9.7,9.45,9.65,-0.52,139987,2689.34,220
2005-01-07 00:00:00+00,9.65,9.7,9.55,9.65,0,102569,1971.81,142
2005-01-10 00:00:00+00,9.6,9.65,9.5,9.5,-1.55,106687,2040.74,182
2005-01-11 00:00:00+00,9.6,9.6,9.5,9.5,0,193782,3711.64,251
2005-01-12 00:00:00+00,9.45,9.55,9.45,9.5,0,64848,1231.58,146
2005-01-13 00:00:00+00,9.45,9.5,9.35,9.35,-1.58,159456,3001.06,288
2005-01-14 00:00:00+00,9.4,9.5,9.3,9.4,0.53,63913,1200.23,155
2005-01-17 00:00:00+00,9.35,9.4,9.25,9.3,-1.06,116247,2169.55,177
2005-01-18 00:00:00+00,9.25,9.3,9.1,9.2,-1.08,151299,2774.71,271
2005-01-19 00:00:00+00,9.1,9.15,9.05,9.15,-0.54,94137,1713.29,214
2005-01-20 00:00:00+00,9.1,9.1,8.85,9,-1.64,151538,2724.25,280
2005-01-21 00:00:00+00,9,9,8.7,8.7,-3.33,234093,4119.03,453
2005-01-24 00:00:00+00,8.75,8.95,8.75,8.8,1.15,69803,1237.54,204
2005-01-25 00:00:00+00,8.95,9.2,8.95,9.2,4.55,183287,3343.39,363
2005-01-26 00:00:00+00,9.25,9.3,9.1,9.2,0,127590,2345.59,225
2005-01-27 00:00:00+00,9.2,9.2,9.05,9.15,-0.54,81161,1482.49,151
2005-01-28 00:00:00+00,9.15,9.15,9,9.05,-1.09,76113,1380.35,199
2005-01-31 00:00:00+00,9.05,9.1,8.95,9.05,0,50150,905.41,140
2005-02-01 00:00:00+00,9.05,9.1,9,9.05,0,39766,717.25,125
2005-02-02 00:00:00+00,9.05,9.2,9,9.1,0.55,59275,1078.1,138
2005-02-03 00:00:00+00,9.05,9.1,9.05,9.05,-0.55,28746,521.37,88
2005-02-04 00:00:00+00,9.05,9.1,9,9,-0.55,58190,1049.65,170
2005-02-07 00:00:00+00,9.1,9.15,9,9.1,1.11,91626,1667.43,246
2005-02-08 00:00:00+00,9.05,9.05,8.9,8.95,-1.65,89536,1607.8,200
2005-02-09 00:00:00+00,8.95,9,8.9,8.95,0,29172,522.57,82
2005-02-10 00:00:00+00,8.9,8.95,8.85,8.9,-0.56,84426,1503.87,174
2005-02-11 00:00:00+00,8.9,8.9,8.75,8.8,-1.12,159152,2808.34,300
2005-02-14 00:00:00+00,8.85,9,8.8,8.95,1.7,70629,1257.59,191
2005-02-15 00:00:00+00,8.85,8.9,8.8,8.85,-1.12,136551,2409.6,248
2005-02-16 00:00:00+00,8.85,8.85,8.4,8.7,-1.69,260619,4532.04,506
2005-02-17 00:00:00+00,8.6,8.75,8.4,8.6,-1.15,233114,4001.94,453
2005-02-18 00:00:00+00,8.65,8.7,8.55,8.65,0.58,104555,1804.49,209
2005-02-21 00:00:00+00,8.75,8.75,8.55,8.65,0,80552,1391.55,199
2005-02-22 00:00:00+00,8.7,8.75,8.55,8.55,-1.16,54674,943.81,167
2005-02-23 00:00:00+00,8.65,8.65,8.55,8.65,1.17,73737,1270.85,137
2005-02-24 00:00:00+00,8.65,8.7,8.55,8.6,-0.58,69646,1199.64,124
2005-02-25 00:00:00+00,8.6,8.75,8.6,8.65,0.58,86924,1507.02,218
2005-02-28 00:00:00+00,8.3,8.3,7.8,8,-7.51,757108,12168.14,1291
2005-03-01 00:00:00+00,8,8.05,7.6,7.7,-3.75,394089,6113.72,651
2005-03-02 00:00:00+00,7.5,7.5,7.1,7.3,-5.19,486325,7129.55,780
2005-03-03 00:00:00+00,7.25,7.65,7.25,7.65,4.79,458364,6884.83,644
2005-03-04 00:00:00+00,7.7,7.8,7.55,7.6,-0.65,194130,2980.22,353
2005-03-07 00:00:00+00,7.6,7.65,7.45,7.5,-1.32,99648,1498.68,184
2005-03-08 00:00:00+00,7.5,7.5,7.3,7.45,-0.67,55377,819.2,155
2005-03-09 00:00:00+00,7.5,7.5,7.3,7.4,-0.67,93255,1374.43,222
2005-03-10 00:00:00+00,7.5,7.5,7.4,7.5,1.35,151598,2269.25,230
2005-03-11 00:00:00+00,7.5,7.55,7.4,7.5,0,67460,1010.71,130
2005-03-14 00:00:00+00,7.4,7.5,7.35,7.35,-2,31038,458.49,98
2005-03-15 00:00:00+00,7.35,7.4,7.3,7.3,-0.68,60105,880.52,116
2005-03-16 00:00:00+00,7.3,7.35,7.05,7.15,-2.05,162304,2333.63,241
2005-03-17 00:00:00+00,7.05,7.05,6.8,6.85,-4.2,170389,2357.86,346
2005-03-18 00:00:00+00,6.75,6.9,6.7,6.9,0.73,175037,2380.86,353
2005-03-21 00:00:00+00,6.9,7.1,6.75,6.75,-2.17,161836,2238.38,262
2005-03-22 00:00:00+00,6.8,6.85,6.75,6.8,0.74,117406,1593.76,169
2005-03-23 00:00:00+00,6.7,6.8,6.65,6.7,-1.47,97259,1304.76,204
2005-03-24 00:00:00+00,6.7,6.95,6.7,6.8,1.49,116921,1597.3,171
2005-03-29 00:00:00+00,6.85,7.15,6.8,7.15,5.15,127950,1791.43,231
2005-03-30 00:00:00+00,7.15,7.5,7.15,7.4,3.5,246014,3624.32,411
2005-03-31 00:00:00+00,7.5,7.5,7.35,7.4,0,97350,1449.77,164
2005-04-01 00:00:00+00,7.6,7.6,7.3,7.35,-0.68,91984,1371.21,150
2005-04-04 00:00:00+00,7.35,7.4,7.2,7.35,0,33391,484.4,89
2005-04-05 00:00:00+00,7.35,7.4,7.25,7.4,0.68,28621,419.58,56
2005-04-06 00:00:00+00,7.4,7.6,7.35,7.55,2.03,100512,1507.44,187
2005-04-07 00:00:00+00,7.55,7.65,7.45,7.65,1.32,91030,1377.58,155
2005-04-11 00:00:00+00,7.65,7.65,7.55,7.6,-0.65,32337,490.27,80
2005-04-12 00:00:00+00,7.7,7.7,7.5,7.6,0,106009,1615.56,147
2005-04-13 00:00:00+00,7.6,7.6,7.45,7.45,-1.97,37271,558.14,85
2005-04-14 00:00:00+00,7.4,7.5,7.25,7.3,-2.01,75673,1108.27,127
2005-04-15 00:00:00+00,7.2,7.3,7.05,7.15,-2.05,98577,1413.83,153
2005-04-18 00:00:00+00,7.05,7.15,6.9,7.1,-0.7,132542,1865.32,163
2005-04-19 00:00:00+00,7.1,7.25,7.1,7.2,1.41,67211,962.28,91
2005-04-20 00:00:00+00,7.2,7.25,7.15,7.2,0,34337,493.63,72
2005-04-21 00:00:00+00,7.15,7.3,7.15,7.2,0,39789,574.24,73
2005-04-22 00:00:00+00,7.3,7.3,7.1,7.15,-0.69,76843,1095.73,72
2005-04-25 00:00:00+00,7.1,7.3,7.1,7.2,0.7,51163,740.01,70
2005-04-26 00:00:00+00,7.2,7.2,7.05,7.1,-1.39,76872,1091.04,77
2005-04-27 00:00:00+00,7.1,7.2,7,7.2,1.41,36175,515.77,78
2005-04-28 00:00:00+00,7.15,7.25,7.05,7.2,0,34609,496.79,69
2005-04-29 00:00:00+00,7.2,7.2,7.1,7.15,-0.69,23637,336.36,48
2005-05-02 00:00:00+00,7.2,7.25,7.2,7.2,0.7,29563,426.96,47
2005-05-04 00:00:00+00,7.2,7.2,7.1,7.2,0,20012,286.38,46
2005-05-05 00:00:00+00,7.1,7.15,7.05,7.15,-0.69,63670,904.34,105
2005-05-06 00:00:00+00,7.15,7.15,7,7.1,-0.7,39225,555.49,80
2005-05-09 00:00:00+00,7.1,7.1,7,7.05,-0.7,31073,437.44,51
2005-05-10 00:00:00+00,7.05,7.4,6.95,7.3,3.55,156157,2255.43,250
2005-05-11 00:00:00+00,7.2,7.75,7.2,7.7,5.48,352303,5338.39,414
2005-05-12 00:00:00+00,7.75,7.9,7.6,7.65,-0.65,236124,3666.18,322
2005-05-13 00:00:00+00,7.65,8.05,7.55,8,4.58,284846,4487.25,363
2005-05-16 00:00:00+00,8,8,7.75,7.9,-1.25,88894,1394.24,168
2005-05-17 00:00:00+00,7.9,8,7.85,8,1.27,156293,2487.77,195
2005-05-18 00:00:00+00,8,8.15,7.8,8.05,0.63,194612,3119.92,191
2005-05-19 00:00:00+00,8.05,8.1,7.9,8,-0.62,46787,746.74,90
2005-05-20 00:00:00+00,7.95,8,7.9,7.95,-0.63,26475,419.66,58
2005-05-23 00:00:00+00,7.95,7.95,7.85,7.9,-0.63,23348,368.41,57
2005-05-24 00:00:00+00,7.9,8.2,7.9,8.15,3.16,196711,3180.55,279
2005-05-25 00:00:00+00,8.2,8.55,8.2,8.45,3.68,447429,7501.64,535
2005-05-27 00:00:00+00,8.55,8.65,8.35,8.4,-0.59,178266,3044.06,301
2005-05-30 00:00:00+00,8.45,8.5,8.25,8.45,0.6,62267,1044.14,136
2005-05-31 00:00:00+00,8.4,8.75,8.35,8.7,2.96,246405,4242.15,306
2005-06-01 00:00:00+00,8.6,8.65,8.55,8.55,-1.72,90077,1544.43,123
2005-06-02 00:00:00+00,8.55,8.7,8.55,8.55,0,59712,1030.02,98
