date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,8.65,9.3,8.65,9.25,6.94,35361,644.63,146
2005-01-04 00:00:00+00,9.25,9.25,8.95,9.2,-0.54,19218,350.4,70
2005-01-05 00:00:00+00,9.1,9.1,8.75,8.8,-4.35,11246,199.53,68
2005-01-06 00:00:00+00,8.9,8.9,8.5,8.9,1.14,7350,127.98,38
2005-01-07 00:00:00+00,8.8,8.85,8.7,8.7,-2.25,6170,108.01,33
2005-01-10 00:00:00+00,8.7,9.2,8.7,9.1,4.6,26986,488.43,92
2005-01-11 00:00:00+00,9.3,9.3,8.95,8.95,-1.65,10556,191.23,49
2005-01-12 00:00:00+00,8.75,8.95,8.75,8.75,-2.23,2910,51.22,26
2005-01-13 00:00:00+00,8.75,8.75,8.45,8.55,-2.29,14702,251.08,76
2005-01-14 00:00:00+00,8.45,8.75,8.05,8.1,-5.26,16109,268.17,82
2005-01-17 00:00:00+00,8.1,8.1,7.7,7.85,-3.09,28168,445.25,100
2005-01-18 00:00:00+00,7.95,7.95,7.3,7.35,-6.37,11675,175.4,59
2005-01-19 00:00:00+00,7.4,7.75,7.35,7.75,5.44,13944,210.97,65
2005-01-20 00:00:00+00,7.75,8.15,7.75,8,3.23,14379,228.26,56
2005-01-21 00:00:00+00,8,8.05,7.75,7.95,-0.63,1411,22.41,9
2005-01-24 00:00:00+00,7.8,7.95,7.5,7.6,-4.4,5342,81.74,32
2005-01-25 00:00:00+00,7.9,7.95,7.65,7.95,4.61,3129,49.09,25
2005-01-26 00:00:00+00,8,8,7.7,7.9,-0.63,4378,68.65,20
2005-01-27 00:00:00+00,7.9,8.25,7.9,8.1,2.53,11818,190.81,55
2005-01-28 00:00:00+00,8,8.1,7.6,7.75,-4.32,14956,237.42,66
2005-01-31 00:00:00+00,7.75,8.95,7.7,8.55,10.32,31824,535.04,122
2005-02-01 00:00:00+00,9.25,9.4,8.95,9.1,6.43,74645,1366.78,255
2005-02-02 00:00:00+00,9.35,9.35,8.8,9.1,0,17306,313.61,82
2005-02-03 00:00:00+00,9.1,9.1,8.9,9.1,0,6225,111.93,29
2005-02-04 00:00:00+00,9.1,9.75,9.1,9.3,2.2,45454,850.03,178
2005-02-07 00:00:00+00,9.7,9.7,9.2,9.5,2.15,21912,413.54,92
2005-02-08 00:00:00+00,9.55,9.55,9.3,9.3,-2.11,11422,214.31,49
2005-02-09 00:00:00+00,9.3,9.45,9.2,9.2,-1.08,12877,237.32,30
2005-02-10 00:00:00+00,9.1,9.1,8.65,8.85,-3.8,5669,100.58,27
2005-02-11 00:00:00+00,8.85,9.1,8.7,8.85,0,13669,243.33,38
2005-02-14 00:00:00+00,9,9,8.4,8.65,-2.26,4443,76.64,39
