date,open,high,low,close,difference,volume,turnover,transactions
2007-08-27 00:00:00+00,4.49,4.7,3.96,4,-4.76,239526,2015.85,435
2007-08-28 00:00:00+00,3.9,3.9,3.6,3.65,-8.75,244176,1810.03,312
2007-08-29 00:00:00+00,3.3,3.76,3.28,3.6,-1.37,111367,792.26,186
2007-08-30 00:00:00+00,3.72,3.72,3.3,3.3,-8.33,118326,811.14,209
2007-08-31 00:00:00+00,3.41,3.49,3.15,3.38,2.42,110746,740.1,160
2007-09-03 00:00:00+00,3.42,3.42,3.2,3.3,-2.37,47433,309.71,93
2007-09-04 00:00:00+00,3.3,3.3,3.15,3.21,-2.73,79747,510.49,127
2007-09-05 00:00:00+00,3.2,3.25,3.1,3.1,-3.43,94702,596.7,128
2007-09-06 00:00:00+00,3.1,3.18,3.05,3.15,1.61,75517,467.61,92
2007-09-07 00:00:00+00,3.15,3.3,3.07,3.13,-0.63,51941,331.18,86
2007-09-10 00:00:00+00,2.9,3.1,2.9,3.01,-3.83,40827,246.3,78
2007-09-11 00:00:00+00,3,3.09,2.99,3.05,1.33,33223,200.18,48
2007-09-12 00:00:00+00,3.08,3.08,2.94,3.03,-0.66,18482,110.43,54
2007-09-13 00:00:00+00,3,3,2.92,3,-0.99,24215,144.01,39
2007-09-14 00:00:00+00,2.98,3.02,2.98,2.99,-0.33,16520,98.68,18
2007-09-17 00:00:00+00,3,3,2.75,2.86,-4.35,35915,206.84,61
2007-09-18 00:00:00+00,2.83,2.92,2.83,2.89,1.05,19632,111.84,32
2007-09-19 00:00:00+00,2.97,3,2.89,3,3.81,76758,454.27,112
2007-09-20 00:00:00+00,3.05,3.19,3.02,3.09,3,44838,278.05,92
2007-09-21 00:00:00+00,3.14,3.14,3.06,3.07,-0.65,25712,159.2,38
2007-09-24 00:00:00+00,3.05,3.05,2.95,3.03,-1.3,30112,180.42,43
2007-09-25 00:00:00+00,2.96,2.99,2.89,2.9,-4.29,53874,314.94,81
2007-09-26 00:00:00+00,2.9,2.95,2.9,2.95,1.72,16209,94.56,26
2007-09-27 00:00:00+00,2.95,3,2.93,2.95,0,22595,134.9,20
2007-09-28 00:00:00+00,2.92,2.95,2.9,2.95,0,32178,187.7,17
2007-10-01 00:00:00+00,2.85,2.87,2.78,2.85,-3.39,55155,313.12,62
2007-10-02 00:00:00+00,2.84,2.84,2.72,2.82,-1.05,24010,132.86,49
2007-10-03 00:00:00+00,2.83,2.83,2.77,2.79,-1.06,19275,108.22,28
2007-10-04 00:00:00+00,2.8,3.74,2.8,3.65,30.82,799960,5611.08,907
2007-10-05 00:00:00+00,3.37,3.64,3.28,3.28,-10.14,476289,3191.09,564
2007-10-08 00:00:00+00,3.3,3.39,3.19,3.21,-2.13,61393,405.62,100
2007-10-09 00:00:00+00,3.21,3.52,3.1,3.38,5.3,177928,1183.9,259
2007-10-10 00:00:00+00,3.45,3.46,3.24,3.4,0.59,74988,503.3,99
2007-10-11 00:00:00+00,3.31,3.39,3.26,3.27,-3.82,40078,264.45,78
2007-10-12 00:00:00+00,3.23,3.3,3.2,3.27,0,32765,213.63,48
2007-10-15 00:00:00+00,3.28,3.35,3.21,3.26,-0.31,29439,191.33,48
2007-10-16 00:00:00+00,3.27,3.28,3.15,3.18,-2.45,46543,296.45,61
