date,open,high,low,close,difference,volume,turnover,transactions
2005-01-27 00:00:00+00,18,19,17.5,17.5,32.58,4222970,152458.03,12247
2005-01-28 00:00:00+00,17.4,17.45,16.5,16.5,-5.71,658122,22117.93,3051
2005-01-31 00:00:00+00,16.4,16.5,16.05,16.45,-0.3,302883,9852.49,1535
2005-02-01 00:00:00+00,16.4,16.95,16.4,16.75,1.82,169931,5701.12,965
2005-02-02 00:00:00+00,16.8,17,16.6,16.85,0.6,148562,4996.74,656
2005-02-03 00:00:00+00,16.85,16.9,16.75,16.8,-0.3,78289,2635.52,427
2005-02-04 00:00:00+00,16.75,16.9,16.7,16.8,0,86772,2913.58,474
2005-02-07 00:00:00+00,16.9,17,16.8,16.95,0.89,166551,5633.04,570
2005-02-08 00:00:00+00,16.95,16.95,16.8,16.8,-0.88,46860,1581.99,282
2005-02-09 00:00:00+00,16.85,16.95,16.7,16.8,0,66846,2253.29,265
2005-02-10 00:00:00+00,16.8,16.8,16.35,16.75,-0.3,33297,1105.55,243
2005-02-11 00:00:00+00,16.5,16.65,16.45,16.6,-0.9,20208,668.85,179
2005-02-14 00:00:00+00,16.6,16.75,16.6,16.75,0.9,34848,1163.86,213
2005-02-15 00:00:00+00,16.75,16.8,16.7,16.8,0.3,37900,1270.96,238
2005-02-16 00:00:00+00,16.85,17.1,16.85,17,1.19,176201,5984.96,920
2005-02-17 00:00:00+00,17,17,16.8,17,0,98322,3326.68,382
2005-02-18 00:00:00+00,17,17,16.9,16.95,-0.29,76501,2591.81,354
2005-02-21 00:00:00+00,16.85,16.95,16.85,16.95,0,89112,3013.75,288
2005-02-22 00:00:00+00,16.9,17,16.8,16.95,0,46267,1565.44,255
2005-02-23 00:00:00+00,16.8,17,16.8,16.95,0,96689,3283.37,431
2005-02-24 00:00:00+00,16.95,17.15,16.8,16.95,0,73324,2496.45,402
2005-02-25 00:00:00+00,16.95,17.15,16.95,17,0.29,58174,1980.91,281
2005-02-28 00:00:00+00,17.05,17.05,16.85,17,0,51490,1749.39,243
2005-03-01 00:00:00+00,17,17.05,16.95,17,0,38032,1292.6,220
2005-03-02 00:00:00+00,16.95,17.25,16.95,17.25,1.47,102097,3490.59,436
2005-03-03 00:00:00+00,17.15,17.3,17.1,17.1,-0.87,34592,1190.95,202
2005-03-04 00:00:00+00,17.2,17.25,17.05,17.1,0,11213,384.46,95
2005-03-07 00:00:00+00,16.9,17.05,16.9,17,-0.58,11750,399.02,108
2005-03-08 00:00:00+00,17,17,16.8,16.85,-0.88,7796,262.67,66
2005-03-09 00:00:00+00,16.8,16.95,16.8,16.95,0.59,50086,1692.14,109
2005-03-10 00:00:00+00,16.8,17,16.5,16.7,-1.47,32981,1103.14,92
2005-03-11 00:00:00+00,16.55,16.65,16.5,16.65,-0.3,32851,1087.27,100
2005-03-14 00:00:00+00,16.5,16.6,16.25,16.25,-2.4,21259,695.38,135
