date,open,high,low,close,difference,volume,turnover,transactions
2007-11-07 00:00:00+00,33,34,28,29.3,-11.21,6210,373.22,62
2007-11-08 00:00:00+00,29,40,27,40,36.52,14324,980.03,150
2007-11-09 00:00:00+00,44,48,38,42,5,22084,1974.88,306
2007-11-12 00:00:00+00,40,56.1,40,56,33.33,31058,3101.88,342
2007-11-13 00:00:00+00,59.5,62,50,51.6,-7.86,41381,4583.29,552
2007-11-14 00:00:00+00,53.9,59.25,52.2,55.7,7.95,26411,2963.15,418
2007-11-15 00:00:00+00,54,54.2,43.74,48,-13.82,34293,3227.09,511
2007-11-16 00:00:00+00,47,47,43.1,44.03,-8.27,11226,1008.71,234
2007-11-19 00:00:00+00,44.29,44.9,40.45,42.99,-2.36,7214,619.49,114
2007-11-20 00:00:00+00,42,42,37.84,37.9,-11.84,11774,921.42,182
2007-11-21 00:00:00+00,36.1,36.1,32.6,33.1,-12.66,9939,679.41,139
2007-11-22 00:00:00+00,31.5,41.89,29.8,40.2,21.45,15367,1130.25,226
2007-11-23 00:00:00+00,40.2,47.9,40.2,42,4.48,15878,1387.7,255
2007-11-26 00:00:00+00,45.6,45.85,42,43.9,4.52,7873,682.99,122
2007-11-27 00:00:00+00,40.6,43.79,40.6,43.79,-0.25,7600,648.22,104
2007-11-28 00:00:00+00,44,59.25,44,59.25,35.3,36609,4048.96,363
2007-11-29 00:00:00+00,59,67.8,55,64.9,9.54,38837,4941.62,518
2007-11-30 00:00:00+00,66.95,66.95,61,64.6,-0.46,13697,1738.58,213
2007-12-03 00:00:00+00,62.2,64.5,61.2,61.4,-4.95,4601,571.09,71
2007-12-04 00:00:00+00,61,62,57.2,61,-0.65,5151,612.95,80
2007-12-05 00:00:00+00,61,67,59.25,66.55,9.1,12215,1586.47,110
2007-12-06 00:00:00+00,65.3,81,65.3,81,21.71,20111,3087.17,325
2007-12-07 00:00:00+00,80.95,86.5,78.15,82.9,2.35,12819,2133.54,318
2007-12-10 00:00:00+00,87.5,109.9,80,103.9,25.33,29347,5804,613
2007-12-11 00:00:00+00,99.8,100,95,96.5,-7.12,15418,3011.33,355
2007-12-12 00:00:00+00,88,112.5,88,108,11.92,24677,5113.93,625
2007-12-13 00:00:00+00,105,115,100.1,109,0.93,20586,4493.61,478
2007-12-14 00:00:00+00,111.7,128,111.7,124,13.76,25151,6070.31,690
2007-12-17 00:00:00+00,124,147.9,124,132.9,7.18,40653,11156.05,1121
2007-12-18 00:00:00+00,138,142.1,101,118,-11.21,57450,13755.03,1541
2007-12-19 00:00:00+00,123.9,126,101,103.9,-11.95,17212,3833.68,630
2007-12-20 00:00:00+00,99,119.7,99,114,9.72,27307,6074.24,763
2007-12-21 00:00:00+00,114,124,114,119.5,4.82,19894,4764.27,484
2007-12-27 00:00:00+00,117,126.5,115,119,-0.42,13786,3302.18,388
2007-12-28 00:00:00+00,115.5,118.8,115.2,116.1,-2.44,6742,1573.63,196
2008-01-02 00:00:00+00,114,116.5,105.3,110,-5.25,10499,2324.54,278
2008-01-03 00:00:00+00,106,109,95.6,100.8,-8.36,12619,2553.91,404
2008-01-04 00:00:00+00,96.5,99.4,84,86,-14.68,18808,3421.38,583
2008-01-07 00:00:00+00,82.1,87,76,83.5,-2.91,24841,4033.02,565
