date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,52.5,52.5,51.5,52.5,2.94,54,5.67,3
2005-01-04 00:00:00+00,51.1,53.5,51,51.4,-2.1,366,37.77,8
2005-01-05 00:00:00+00,52.8,52.8,52.8,52.8,2.72,3,0.32,1
2005-01-06 00:00:00+00,52,53,52,53,0.38,123,12.8,2
2005-01-07 00:00:00+00,53.5,53.5,50,51,-3.77,1698,170.56,11
2005-01-10 00:00:00+00,50,52.5,50,52.4,2.75,76,7.63,9
2005-01-11 00:00:00+00,0,0,0,52.4,0,0,0,0
2005-01-12 00:00:00+00,50.1,50.1,50,50.1,-4.39,140,14.02,4
2005-01-13 00:00:00+00,52.4,53,52.4,53,5.79,307,32.33,7
2005-01-14 00:00:00+00,52.5,54,52.5,53.5,0.94,204,21.53,5
2005-01-17 00:00:00+00,53,53,50,52,-2.8,1063,107.31,21
2005-01-18 00:00:00+00,50.5,50.5,50,50,-3.85,385,38.55,7
2005-01-19 00:00:00+00,50,53,50,52.5,5,862,89.5,17
2005-01-20 00:00:00+00,52.5,53,52.5,53,0.95,800,84.55,7
2005-01-21 00:00:00+00,52.9,53,52.9,53,0,200,21.18,2
2005-01-24 00:00:00+00,52.5,52.5,52.5,52.5,-0.94,13,1.37,2
2005-01-25 00:00:00+00,52.5,52.5,52,52,-0.95,130,13.62,4
2005-01-26 00:00:00+00,52.6,52.6,52.6,52.6,1.15,50,5.26,1
2005-01-27 00:00:00+00,51.1,51.1,51,51,-3.04,1015,103.56,6
2005-01-28 00:00:00+00,51.5,51.5,51.5,51.5,0.98,6,0.62,1
2005-01-31 00:00:00+00,50.1,51,50.1,51,-0.97,216,21.97,8
2005-02-01 00:00:00+00,50,51.2,50,51.2,0.39,445,45.31,7
2005-02-02 00:00:00+00,51.5,53.9,51,52.4,2.34,186,19.2,6
2005-02-03 00:00:00+00,52,52,52,52,-0.76,79,8.22,1
2005-02-04 00:00:00+00,52.4,54,52,53.5,2.88,2485,263.7,35
2005-02-07 00:00:00+00,54.5,54.9,52.1,54.1,1.12,1337,144.47,25
2005-02-08 00:00:00+00,52,52,52,52,-3.88,77,8.01,2
2005-02-09 00:00:00+00,51.5,51.5,51.5,51.5,-0.96,98,10.09,1
2005-02-10 00:00:00+00,0,0,0,51.5,0,0,0,0
2005-02-11 00:00:00+00,51.5,51.5,51.5,51.5,0,106,10.92,2
2005-02-14 00:00:00+00,0,0,0,51.5,0,0,0,0
2005-02-15 00:00:00+00,51.5,52,51,51.9,0.78,281,28.74,6
2005-02-16 00:00:00+00,50.5,50.5,50.5,50.5,-2.7,22,2.22,1
2005-02-17 00:00:00+00,50,50,50,50,-0.99,178,17.8,1
2005-02-18 00:00:00+00,50,50,49,49.1,-1.8,353,35.01,5
2005-02-21 00:00:00+00,49,49.1,49,49,-0.2,634,62.14,10
2005-02-22 00:00:00+00,48,49,45,48,-2.04,927,87.4,27
2005-02-23 00:00:00+00,47.8,47.8,47,47,-2.08,238,22.45,4
2005-02-24 00:00:00+00,47,49.1,47,47,0,1038,98.04,12
2005-02-25 00:00:00+00,47.9,48.7,46.7,46.7,-0.64,904,85.82,11
2005-02-28 00:00:00+00,46.5,46.5,46,46,-1.5,1284,118.77,11
2005-03-01 00:00:00+00,46,46,45,45.9,-0.22,279,25.19,6
2005-03-02 00:00:00+00,47,47,46.5,46.5,1.31,61,5.7,4
2005-03-03 00:00:00+00,46,46,46,46,-1.08,50,4.6,1
2005-03-04 00:00:00+00,47.2,47.2,46.6,46.8,1.74,152,14.19,4
2005-03-07 00:00:00+00,0,0,0,46.8,0,0,0,0
2005-03-08 00:00:00+00,46.8,48,46.8,47.5,1.5,117,11.09,3
2005-03-09 00:00:00+00,47.5,47.5,47.5,47.5,0,115,10.93,2
2005-03-10 00:00:00+00,47,48,47,48,1.05,231,22.11,3
2005-03-11 00:00:00+00,48,48,48,48,0,213,20.45,3
2005-03-14 00:00:00+00,46.8,46.8,44.6,44.6,-7.08,1185,107.66,18
2005-03-15 00:00:00+00,44.4,44.4,44.4,44.4,-0.45,1,0.09,1
2005-03-16 00:00:00+00,44.4,44.5,44.4,44.5,0.23,47,4.18,3
2005-03-17 00:00:00+00,0,0,0,44.5,0,0,0,0
2005-03-18 00:00:00+00,45,45,45,45,1.12,98,8.82,1
2005-03-21 00:00:00+00,44.8,44.8,44.8,44.8,-0.44,100,8.96,1
2005-03-22 00:00:00+00,44.8,44.8,43,43,-4.02,300,26.16,2
2005-03-23 00:00:00+00,43,43,43,43,0,200,17.2,2
2005-03-24 00:00:00+00,43,43.2,43,43.2,0.47,120,10.32,3
2005-03-29 00:00:00+00,0,0,0,43.2,0,0,0,0
2005-03-30 00:00:00+00,44,44,43.5,44,1.85,821,71.55,4
2005-03-31 00:00:00+00,0,0,0,44,0,0,0,0
2005-04-01 00:00:00+00,0,0,0,44,0,0,0,0
2005-04-04 00:00:00+00,44.6,44.6,44.6,44.6,1.36,29,2.59,1
2005-04-05 00:00:00+00,45.1,45.2,44,45.2,1.35,350,31.14,3
2005-04-06 00:00:00+00,0,0,0,45.2,0,0,0,0
2005-04-07 00:00:00+00,45.1,45.2,44.5,45.2,0,1267,113.85,6
2005-04-11 00:00:00+00,44.5,46,44.5,46,1.77,1027,93.89,4
2005-04-12 00:00:00+00,45,45.9,45,45.9,-0.22,512,46.09,4
2005-04-13 00:00:00+00,0,0,0,45.9,0,0,0,0
2005-04-14 00:00:00+00,46,46,44.6,44.6,-2.83,89,8.18,3
2005-04-15 00:00:00+00,46,46,46,46,3.14,100,9.2,1
2005-04-18 00:00:00+00,44.6,45.3,44.6,45.3,-1.52,387,34.99,5
2005-04-19 00:00:00+00,45,46,45,46,1.55,450,41,3
2005-04-20 00:00:00+00,46,46,46,46,0,1638,150.7,3
2005-04-21 00:00:00+00,0,0,0,46,0,0,0,0
2005-04-22 00:00:00+00,45.5,46.5,45.5,46.5,1.09,347,32.16,3
2005-04-25 00:00:00+00,46.5,46.5,46.5,46.5,0,145,13.49,2
2005-04-26 00:00:00+00,46.5,46.5,46.5,46.5,0,199,18.51,1
2005-04-27 00:00:00+00,45.5,46.7,45.5,46.7,0.43,250,22.87,2
2005-04-28 00:00:00+00,46,46.2,46,46.2,-1.07,239,22,2
2005-04-29 00:00:00+00,0,0,0,46.2,0,0,0,0
2005-05-02 00:00:00+00,0,0,0,46.2,0,0,0,0
2005-05-04 00:00:00+00,44.6,44.6,44.5,44.5,-3.68,10,0.89,2
2005-05-05 00:00:00+00,45.5,45.5,45.5,45.5,2.25,200,18.2,1
2005-05-06 00:00:00+00,45,45,43,43,-5.49,414,36.4,6
2005-05-09 00:00:00+00,41,41,40,40.9,-4.88,540,43.74,8
2005-05-10 00:00:00+00,40,40.9,40,40.9,0,100,8.15,2
2005-05-11 00:00:00+00,39,39,37.1,37.1,-9.29,631,48.06,13
2005-05-12 00:00:00+00,37.2,37.9,37.2,37.9,2.16,133,9.92,4
2005-05-13 00:00:00+00,37.9,40,37.9,39,2.9,576,43.99,8
2005-05-16 00:00:00+00,38.8,39,38.8,39,0,140,10.9,2
2005-05-17 00:00:00+00,0,0,0,39,0,0,0,0
2005-05-18 00:00:00+00,38,38,38,38,-2.56,200,15.2,1
2005-05-19 00:00:00+00,37,38,37,38,0,238,17.62,3
2005-05-20 00:00:00+00,37.1,37.1,36.5,36.5,-3.95,341,24.94,6
2005-05-23 00:00:00+00,37.8,37.8,37.8,37.8,3.56,2,0.15,1
2005-05-24 00:00:00+00,38,39,38,39,3.17,38,2.93,4
2005-05-25 00:00:00+00,38.3,38.3,38.3,38.3,-1.79,1,0.08,1
2005-05-27 00:00:00+00,37.1,38.3,37.1,38.3,0,159,11.82,3
2005-05-30 00:00:00+00,37.5,37.5,36,36,-6.01,599,44.26,9
2005-05-31 00:00:00+00,36,36,34.7,35,-2.78,128,9.07,7
2005-06-01 00:00:00+00,34.6,34.6,34.4,34.4,-1.71,130,8.96,4
2005-06-02 00:00:00+00,34.6,36.5,34.2,36,4.65,491,34.48,12
2005-06-03 00:00:00+00,36,36.5,35.9,35.9,-0.28,15,1.08,4
2005-06-06 00:00:00+00,35.9,38.1,35.9,37,3.06,462,33.51,11
2005-06-07 00:00:00+00,37.7,37.7,36.5,37.3,0.81,470,35.06,14
2005-06-08 00:00:00+00,37.7,37.7,36.2,37.5,0.54,420,31.16,8
2005-06-09 00:00:00+00,37.9,41,37,41,9.33,2423,190.78,48
2005-06-10 00:00:00+00,42,42,40.5,40.9,-0.24,749,61.54,9
2005-06-13 00:00:00+00,40,40.9,39.1,39.1,-4.4,330,26.44,4
2005-06-14 00:00:00+00,39,39,39,39,-0.26,292,22.78,4
2005-06-15 00:00:00+00,39.2,39.3,39.2,39.3,0.77,261,20.51,3
2005-06-16 00:00:00+00,40.1,40.1,40.1,40.1,2.04,1,0.08,1
2005-06-17 00:00:00+00,40,40,39,40,-0.25,12,0.94,5
2005-06-20 00:00:00+00,0,0,0,40,0,0,0,0
2005-06-21 00:00:00+00,40.8,40.8,40.8,40.8,2,95,7.75,3
2005-06-22 00:00:00+00,40,40.4,38.7,40.4,-0.98,300,24.03,3
2005-06-23 00:00:00+00,40.4,41,40.4,41,1.49,570,46.37,5
2005-06-24 00:00:00+00,0,0,0,41,0,0,0,0
2005-06-27 00:00:00+00,0,0,0,41,0,0,0,0
2005-06-28 00:00:00+00,41,41.5,41,41.5,1.22,51,4.18,2
2005-06-29 00:00:00+00,0,0,0,41.5,0,0,0,0
2005-06-30 00:00:00+00,41,42.5,41,41.1,-0.96,1845,153.66,11
2005-07-01 00:00:00+00,41.3,41.3,41,41,-0.24,147,12.07,2
2005-07-04 00:00:00+00,41,42,41,42,2.44,1011,84.32,9
2005-07-05 00:00:00+00,41.8,42.5,41.8,42.5,1.19,30773,2587.6,6
2005-07-06 00:00:00+00,0,0,0,42.5,0,0,0,0
2005-07-07 00:00:00+00,41,41.2,41,41.2,-3.06,1500,123.01,2
2005-07-08 00:00:00+00,0,0,0,41.2,0,0,0,0
2005-07-11 00:00:00+00,42.1,42.1,42.1,42.1,2.18,198,16.67,1
2005-07-12 00:00:00+00,43,43,43,43,2.14,193,16.6,1
2005-07-13 00:00:00+00,43.8,43.8,43.8,43.8,1.86,300,26.28,1
2005-07-14 00:00:00+00,43.2,44.1,43.2,44.1,0.68,1549,135.28,6
2005-07-15 00:00:00+00,44.1,44.1,44.1,44.1,0,20,1.76,1
2005-07-18 00:00:00+00,44.4,45,44.4,45,2.04,876,78.23,4
2005-07-19 00:00:00+00,45.1,45.1,45.1,45.1,0.22,100,9.02,2
2005-07-20 00:00:00+00,45.1,45.1,45.1,45.1,0,200,18.04,2
2005-07-21 00:00:00+00,46,46.3,46,46.2,2.44,420,38.72,5
2005-07-22 00:00:00+00,47.1,47.2,47.1,47.2,2.16,577,54.38,3
