date,open,high,low,close,difference,volume,turnover,transactions
2008-06-10 00:00:00+00,0,0,0,97.9,0,0,0,0
2008-06-11 00:00:00+00,97,97,97,97,-0.92,1,0.19,1
2008-06-12 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-13 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-16 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-17 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-18 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-19 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-20 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-23 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-24 00:00:00+00,0,0,0,97,0,0,0,0
2008-06-25 00:00:00+00,0,87.3,87.3,87.3,-10,0,0,0
2008-06-26 00:00:00+00,80,80,75,78,-10.65,12,1.83,4
2008-06-27 00:00:00+00,86.9,86.9,86.9,86.9,11.41,1,0.17,1
2008-06-30 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-01 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-02 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-03 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-04 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-07 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-08 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-09 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-10 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-11 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-14 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-15 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-16 00:00:00+00,0,0,0,86.9,0,0,0,0
2008-07-17 00:00:00+00,72,86.9,67.5,72,-17.15,108,17.58,9
2008-07-18 00:00:00+00,73,73,73,73,1.39,55,8.03,2
2008-07-21 00:00:00+00,0,0,0,73,0,0,0,0
2008-07-22 00:00:00+00,66,80.3,66,80.3,10,1,0.13,1
2008-07-23 00:00:00+00,0,0,0,80.3,0,0,0,0
2008-07-24 00:00:00+00,0,0,0,80.3,0,0,0,0
2008-07-25 00:00:00+00,0,0,0,80.3,0,0,0,0
2008-07-28 00:00:00+00,0,0,0,80.3,0,0,0,0
2008-07-29 00:00:00+00,0,0,0,80.3,0,0,0,0
2008-07-30 00:00:00+00,70,75,70,75,-6.6,65,9.41,4
2008-07-31 00:00:00+00,72,75,72,75,0,56,8.14,3
2008-08-01 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-04 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-05 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-06 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-07 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-08 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-11 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-12 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-13 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-14 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-18 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-19 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-20 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-21 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-22 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-25 00:00:00+00,0,0,0,75,0,0,0,0
2008-08-26 00:00:00+00,61.7,66.5,61.7,66.5,-11.33,56,7.22,5
