name,amount,yield,ex_div_date,decision_date
01CYBATON,0.10,0.0324,2015-08-14,2015-06-30
06MAGNA,2.17,0.1769,2007-11-01,2007-10-04
06MAGNA,0.10,0.0108,2006-10-17,2006-09-08
7FIT,0.08,0.0099,2023-06-29,2023-05-25
7FIT,0.10,0.0204,2022-08-01,2022-06-29
7FIT,0.09,0.0225,2021-07-30,2021-07-05
7FIT,0.06,0.0203,2020-08-25,2020-08-17
AATHOLD,0.40,0.0211,2017-06-14,2017-06-08
ABADONRE,0.35,0.0554,2008-07-04,2008-06-23
ABAK,0.30,0.0638,2023-07-20,2023-06-28
ABAK,0.10,0.0345,2022-07-21,2022-06-28
ABAK,0.08,0.0272,2021-07-21,2021-06-29
ABAK,0.08,0.0417,2020-08-11,2020-07-28
ABAK,0.08,0.0357,2019-07-19,2019-06-26
ABAK,0.07,0.0350,2018-07-19,2018-06-29
ABAK,0.07,0.0385,2016-07-19,2016-06-29
ABCDATA,0.23,0.1237,2018-06-28,2018-06-11
ABCDATA,0.39,0.1111,2016-06-22,2016-05-17
ABCDATA,0.36,0.0945,2015-06-22,2015-06-16
ABCDATA,0.36,0.0833,2014-06-26,2014-06-23
ABCDATA,0.24,0.0563,2013-09-05,2013-07-10
ABCDATA,0.16,0.0773,2012-09-12,2012-06-29
ABPL,1.25,0.0243,2022-12-28,2022-12-15
ABPL,1.00,0.0203,2021-12-07,2021-11-30
ABPL,0.44,0.0141,2020-12-29,2020-12-22
ABPL,0.70,0.0197,2015-12-02,2015-11-05
ABPL,0.30,0.0115,2011-01-14,2010-12-28
ABPL,0.27,0.0190,2009-12-17,2009-12-04
ABSINVEST,0.04,0.0241,2017-08-14,2017-06-28
ABSINVEST,0.06,0.0296,2016-07-14,2016-06-29
ABSINVEST,0.03,0.0164,2015-08-13,2015-06-25
ABSINVEST,0.01,0.0345,2011-07-05,2011-06-21
ACARTUS,0.02,0.0328,2023-05-25,2023-05-19
ACARTUS,0.03,0.0331,2021-08-19,2021-06-30
ACARTUS,0.03,0.0577,2020-07-15,2020-06-26
ACARTUS,0.02,0.0690,2019-08-09,2019-06-28
ACARTUS,0.02,0.0800,2018-08-03,2018-06-29
ACARTUS,0.01,0.0312,2016-07-29,2016-06-27
ACARTUS,0.02,0.0465,2015-07-31,2015-06-30
ACAUTOGAZ,2.00,0.0719,2022-06-14,2022-05-16
ACAUTOGAZ,2.20,0.0558,2021-05-31,2021-05-19
ACAUTOGAZ,1.85,0.0419,2020-09-14,2020-08-31
ACAUTOGAZ,3.94,0.0697,2019-06-14,2019-05-17
ACAUTOGAZ,2.50,0.0595,2018-06-15,2018-05-25
ACAUTOGAZ,2.70,0.0575,2017-08-11,2017-05-18
ACAUTOGAZ,2.50,0.0595,2016-12-09,2016-12-05
ACAUTOGAZ,2.50,0.0608,2016-05-04,2016-04-15
ACAUTOGAZ,2.30,0.0647,2015-07-06,2015-05-29
ACAUTOGAZ,2.30,0.0571,2014-06-12,2014-05-07
ACAUTOGAZ,2.10,0.0588,2013-06-13,2013-05-10
ACAUTOGAZ,2.38,0.0983,2012-04-11,2012-03-27
ACE,0.29,0.0273,2015-07-10,2015-06-16
ACE,0.07,0.0050,2014-07-03,2014-06-17
ACE,0.30,0.0365,2013-06-26,2013-06-18
ACE,0.21,0.0391,2012-08-29,2012-06-19
ACE,0.20,0.0206,2010-10-12,2010-06-15
ACE,0.36,0.0519,2008-08-08,2008-06-17
ACTION,1.00,0.0257,2015-06-17,2015-06-10
ACTION,1.00,0.0248,2014-08-19,2014-05-22
ACTION,1.50,0.0397,2013-06-14,2013-06-07
ACTION,0.84,0.0391,2012-05-15,2012-04-27
ACTION,0.43,0.0217,2011-05-12,2011-04-27
ACTION,0.85,0.0423,2010-06-02,2010-04-20
ACTION,1.46,0.1886,2009-01-12,2008-12-19
ACTION,0.27,0.0117,2008-02-12,2008-01-30
ACTION,0.15,0.0079,2007-02-14,2007-01-30
AEDES,0.02,0.0303,2013-07-17,2013-06-28
AGORA,0.50,0.0366,2019-07-11,2019-06-12
AGORA,0.50,0.0402,2018-07-12,2018-06-20
AGORA,0.75,0.0591,2016-07-13,2016-06-23
AGORA,1.00,0.1049,2012-07-12,2012-06-22
AGORA,0.50,0.0274,2011-07-13,2011-06-22
AGORA,0.50,0.0210,2010-07-13,2010-06-25
AGORA,0.50,0.0169,2008-07-10,2008-06-20
AGORA,1.50,0.0346,2007-07-12,2007-06-29
AGORA,0.50,0.0133,2006-07-10,2006-06-27
AILLERON,0.32,0.0286,2022-07-28,2022-06-22
AILLERON,0.32,0.0248,2021-07-09,2021-06-23
AILLERON,0.20,0.0103,2017-08-09,2017-05-31
AITON,0.10,0.1266,2018-05-24,2018-05-10
AITON,0.10,0.1149,2017-05-04,2017-04-16
AITON,0.09,0.1034,2016-05-16,2016-05-10
AITON,0.13,0.0956,2015-05-07,2015-04-29
AITON,0.09,0.0692,2014-05-21,2014-04-29
AITON,0.74,0.4000,2012-06-26,2012-06-15
ALTA,0.25,0.0762,2021-09-29,2021-06-30
ALTA,0.05,0.0104,2011-08-12,2011-06-15
ALTA,0.05,0.0067,2010-07-26,2010-05-12
ALTA,0.05,0.0087,2009-07-24,2009-05-22
ALTA,0.20,0.0149,2008-05-30,2008-05-06
ALTA,0.20,0.0054,2007-05-30,2007-04-23
ALTA,0.20,0.0235,2006-07-28,2006-06-22
ALTUS,1.49,0.1324,2018-06-15,2018-06-11
ALTUS,1.50,0.0816,2017-07-11,2017-06-28
ALUMETAL,10.52,0.1215,2023-04-26,2023-04-18
ALUMETAL,3.30,0.0455,2022-12-22,2022-11-07
ALUMETAL,6.80,0.0919,2022-04-27,2022-04-21
ALUMETAL,2.92,0.0433,2021-06-07,2021-05-19
ALUMETAL,4.08,0.0986,2019-06-06,2019-05-17
ALUMETAL,2.92,0.0531,2018-06-06,2018-05-23
ALUMETAL,2.92,0.0446,2017-05-23,2017-05-16
ALUMETAL,2.55,0.0476,2016-05-19,2016-05-13
ALUMETAL,1.95,0.0319,2015-04-21,2015-04-13
AMBRA,1.00,0.0495,2022-11-02,2022-10-18
AMBRA,0.95,0.0368,2021-11-02,2021-10-26
AMBRA,0.70,0.0386,2020-10-26,2020-10-20
AMBRA,0.70,0.0414,2019-10-29,2019-10-16
AMBRA,0.68,0.0567,2018-10-23,2018-10-10
AMBRA,0.60,0.0526,2017-10-20,2017-10-11
AMBRA,0.52,0.0635,2016-10-19,2016-10-11
AMBRA,0.50,0.0571,2015-10-20,2015-10-13
AMBRA,0.45,0.0497,2014-10-17,2014-10-10
AMBRA,0.43,0.0391,2013-10-15,2013-10-08
AMBRA,0.40,0.0577,2012-10-10,2012-10-03
AMBRA,0.40,0.0563,2011-10-21,2011-10-10
AMBRA,0.30,0.0324,2010-10-14,2010-10-05
AMBRA,0.10,0.0158,2010-01-27,2009-11-17
AMBRA,0.20,0.0175,2008-01-02,2007-12-05
AMBRA,0.20,0.0167,2007-12-31,2006-12-15
AMICA,3.50,0.0444,2022-07-06,2022-06-29
AMICA,6.00,0.0341,2021-06-21,2021-06-15
AMICA,3.00,0.0191,2020-09-03,2020-08-27
AMICA,4.00,0.0292,2019-05-28,2019-05-21
AMICA,3.00,0.0268,2018-07-05,2018-06-28
AMICA,5.50,0.0303,2017-07-07,2017-06-30
AMICA,4.00,0.0207,2016-06-14,2016-06-01
AMICA,3.00,0.0179,2015-06-25,2015-06-17
AMICA,3.50,0.0327,2014-06-18,2014-06-04
AMICA,4.58,0.0599,2013-07-12,2013-06-27
AMICA,3.00,0.0671,2011-06-13,2011-05-30
ANALIZY,0.75,0.0268,2022-07-06,2022-06-27
ANALIZY,1.00,0.0270,2021-07-02,2021-06-25
ANALIZY,0.90,0.0316,2017-06-14,2017-05-29
ANALIZY,1.00,0.0714,2014-05-07,2014-04-23
ANALIZY,0.40,0.0400,2012-06-27,2012-06-20
APATOR,0.20,0.0139,2022-07-05,2022-06-28
APATOR,0.30,0.0142,2022-01-14,2021-11-24
APATOR,0.75,0.0301,2021-08-06,2021-06-29
APATOR,0.45,0.0200,2020-12-22,2020-11-26
