ABPL ABE
ACAUTOGAZ ACG
ACTION ACT
AGORA AGO
AILLERON ALL
AMBRA AMB
AMICA AMC
APATOR APT
ARCTIC ATC
ASSECOBS ABS
ASSECOSEE ASE
ASTARTA AST
ATAL 1AT
BIOMAXIMA BMX
BIOTON BIO
BORYSZEW BRS
BOS BOS
BOWIM BOW
CAPTORTX CTX
CLNPHARMA CLN
COGNOR COG
COMP CMP
CREEPYJAR CRJ
R22 R22
DATAWALK DAT
DECORA DCR
ECHO ECH
ENTER ENT
ERBUD ERB
FERRO FRO
FORTE FTE
GREENX GRX
GRODNO GRN
INSTALKRK INK
KOGENERA KGN
LUBAWA LBW
MANGATA MGT
MCI MCI
MEDICALG MDG
MERCATOR MRC
MIRBUD MRB
MLSYSTEM MLS
MOLECURE MOC
MOSTALZAB MSZ
NEWAG NWG
ONDE OND
OPONEO.PL OPN
PCCROKITA PCR
PCFGROUP PCF
PEKABEX PBX
PEP PEP
PHOTON PEN
PLAYWAY PLW
POLIMEXMS PXM
RAINBOW RBW
RAWLPLUG RWL
RYVU RVU
SANOK SNK
SCPFL SCP
SELENAFM SEL
SHOPER SHO
SNIEZKA SKA
SPYROSOFT SPR
STALEXP STX
STALPROD STP
SUNEX SNX
SYGNITY SGN
SYNEKTIK SNT
TIM TIM
TORPOL TOR
TOYA TOA
UNIMOT UNT
VERCOM VRC
VIGOPHOTN VGO
VOTUM VOT
VOXEL VOX
VRG VRG
WAWEL WWL
WIELTON WLT
WITTCHEN WTN
