ticker,date,open,high,low,close,difference,volume
AAP,2001-11-29,13.39,14.47,13.36,13.88,3.66,371100.0
AAP,2001-11-30,13.88,14.27,13.88,14.27,2.81,165300.0
AAP,2001-12-03,14.23,14.23,13.78,13.78,-3.16,127500.0
AAP,2001-12-04,13.78,13.78,13.23,13.23,-3.99,95400.0
AAP,2001-12-05,13.43,14.78,13.43,14.67,9.23,598200.0
AAP,2001-12-06,14.73,14.73,14.57,14.57,-1.09,157200.0
AAP,2001-12-07,14.58,14.67,14.47,14.67,0.61728,215100.0
AAP,2001-12-10,14.63,14.64,14.59,14.62,-0.0683527,119100.0
AAP,2001-12-11,14.6,14.71,14.59,14.59,-0.06849315,378600.0
AAP,2001-12-12,14.58,14.58,14.04,14.1,-3.29,114600.0
AAP,2001-12-13,14.08,14.27,13.97,13.97,-0.78125,113700.0
AAP,2001-12-14,13.95,13.95,13.52,13.63,-2.29,233400.0
AAP,2001-12-17,13.66,14.0,13.66,13.67,0.07320644,106200.0
AAP,2001-12-18,13.68,13.87,13.67,13.67,-0.07309942,101400.0
AAP,2001-12-19,13.67,13.68,13.58,13.68,0.07315289,157800.0
AAP,2001-12-20,13.73,14.23,13.73,14.1,2.69,97200.0
AAP,2001-12-21,14.18,15.3,14.17,15.11,6.56,659400.0
AAP,2001-12-24,15.1,15.35,15.07,15.27,1.13,50700.0
AAP,2001-12-26,15.3,15.65,15.27,15.33,0.19608,378000.0
AAP,2001-12-27,15.75,15.88,15.4,15.65,-0.63492,349200.0
AAP,2001-12-28,15.73,15.73,15.63,15.68,-0.31786,295500.0
AAP,2001-12-31,15.7,16.58,15.57,16.58,5.61,255900.0
AAP,2002-01-02,16.17,16.17,15.88,15.93,-1.48,132300.0
AAP,2002-01-03,15.9,15.9,15.1,15.1,-5.03,89700.0
AAP,2002-01-04,15.1,15.2,13.67,14.17,-6.16,346500.0
AAP,2002-01-07,14.17,14.37,13.28,13.93,-1.69,601500.0
AAP,2002-01-08,13.85,13.93,13.5,13.7,-1.08,442200.0
AAP,2002-01-09,13.72,13.87,13.7,13.73,0.0728863,60000.0
AAP,2002-01-10,13.73,14.13,13.73,14.03,2.18,216300.0
AAP,2002-01-11,14.33,14.75,14.32,14.5,1.19,340800.0
AAP,2002-01-14,14.5,14.57,14.3,14.3,-1.38,230700.0
AAP,2002-01-15,14.75,15.45,14.75,15.34,4.0,1030200.0
AAP,2002-01-16,15.31,15.78,15.17,15.63,2.09,526200.0
AAP,2002-01-17,15.67,15.93,15.67,15.73,0.3829,42900.0
AAP,2002-01-18,15.7,16.0,15.57,15.77,0.44586,70500.0
AAP,2002-01-22,15.77,15.77,15.23,15.57,-1.27,130800.0
AAP,2002-01-23,15.6,15.72,15.57,15.63,0.19231,38700.0
AAP,2002-01-24,15.67,15.73,15.33,15.42,-1.6,125100.0
AAP,2002-01-25,15.47,15.77,15.32,15.63,1.03,88800.0
AAP,2002-01-28,15.68,15.9,15.26,15.43,-1.59,75300.0
AAP,2002-01-29,15.45,15.53,15.43,15.45,0.0,27300.0
AAP,2002-01-30,15.47,15.57,15.37,15.55,0.51713,67800.0
AAP,2002-01-31,15.58,15.7,15.48,15.62,0.25674,36600.0
AAP,2002-02-01,15.65,15.73,15.65,15.7,0.31949,9000.0
AAP,2002-02-04,15.67,15.67,15.43,15.44,-1.47,13200.0
AAP,2002-02-05,15.37,15.38,15.28,15.3,-0.45543,39300.0
AAP,2002-02-06,15.26,15.27,15.17,15.23,-0.19659,54300.0
AAP,2002-02-07,14.83,14.95,14.6,14.9,0.47202,216000.0
AAP,2002-02-08,14.88,14.95,14.83,14.93,0.33602,71100.0
AAP,2002-02-11,14.9,15.17,14.87,15.13,1.54,21600.0
AAP,2002-02-12,15.17,15.4,15.17,15.4,1.52,14100.0
AAP,2002-02-13,15.33,15.37,14.97,15.0,-2.15,74100.0
