ticker,date,open,high,low,close,difference,volume
ABBV,2013-01-02,34.92,35.4,34.1,35.12,0.57274,13768489.0
ABBV,2013-01-03,35.0,35.0,34.16,34.83,-0.48571,16740008.0
ABBV,2013-01-04,34.62,34.89,34.25,34.3908,-0.66205,21372638.0
ABBV,2013-01-07,34.15,35.45,34.15,34.46,0.90776,17897257.0
ABBV,2013-01-08,34.29,34.64,33.36,33.71,-1.69,17863630.0
ABBV,2013-01-09,33.61,33.95,33.61,33.9,0.86284,18802091.0
ABBV,2013-01-10,33.66,34.0,33.33,34.0,1.01,15661117.0
ABBV,2013-01-11,33.59,33.9,33.35,33.85,0.77404,11191687.0
ABBV,2013-01-14,34.01,34.25,33.8,34.09,0.23522,11585886.0
ABBV,2013-01-15,33.71,34.72,33.71,34.6,2.64,13042742.0
ABBV,2013-01-16,34.47,35.54,34.45,35.54,3.1,16413008.0
ABBV,2013-01-17,35.75,36.7,35.75,36.42,1.87,14427214.0
ABBV,2013-01-18,36.43,37.32,36.04,37.32,2.44,17844395.0
ABBV,2013-01-22,36.98,37.25,35.93,36.42,-1.51,15818160.0
ABBV,2013-01-23,36.91,37.84,36.5,37.8,2.41,10982150.0
ABBV,2013-01-24,37.79,38.52,37.23,37.46,-0.87325,11327799.0
ABBV,2013-01-25,37.52,37.84,36.64,37.6,0.21322,8935596.0
ABBV,2013-01-28,37.65,37.87,36.71,36.89,-2.02,7140178.0
ABBV,2013-01-29,36.71,37.46,36.25,37.31,1.63,8839342.0
ABBV,2013-01-30,36.81,37.525,36.81,36.93,0.326,10842651.0
ABBV,2013-01-31,36.84,36.93,36.27,36.69,-0.40717,10720991.0
ABBV,2013-02-01,36.84,37.2,36.52,37.18,0.92291,9528842.0
ABBV,2013-02-04,36.64,37.3,36.55,37.28,1.75,6348421.0
ABBV,2013-02-05,37.42,37.73,37.18,37.2,-0.58792,7285474.0
ABBV,2013-02-06,36.96,37.28,36.86,37.14,0.48701,5738999.0
ABBV,2013-02-07,37.57,37.57,35.8,36.42,-3.06,9874417.0
ABBV,2013-02-08,36.37,36.42,35.825,36.25,-0.32994,13859710.0
ABBV,2013-02-11,36.13,36.18,35.75,35.85,-0.77498,6032159.0
ABBV,2013-02-12,35.77,35.9,35.2,35.42,-0.97847,7474341.0
ABBV,2013-02-13,35.42,35.57,35.15,35.27,-0.42349,4860853.0
ABBV,2013-02-14,35.05,36.73,35.01,36.57,4.34,7570252.0
ABBV,2013-02-15,36.93,37.81,36.93,37.58,1.76,13297886.0
ABBV,2013-02-19,37.54,38.33,37.11,38.19,1.73,8288812.0
ABBV,2013-02-20,38.16,39.13,37.61,38.61,1.18,8096630.0
ABBV,2013-02-21,38.49,39.025,38.19,38.78,0.75344,7261237.0
ABBV,2013-02-22,38.79,38.85,38.14,38.46,-0.85073,4491635.0
ABBV,2013-02-25,38.54,38.61,37.37,37.37,-3.04,4666471.0
ABBV,2013-02-26,37.6,37.6,36.96,37.09,-1.36,4463086.0
ABBV,2013-02-27,36.97,36.98,36.4,36.73,-0.64918,12238464.0
ABBV,2013-02-28,36.66,37.14,36.5,36.92,0.70922,10322607.0
ABBV,2013-03-01,36.8,38.07,36.551,37.81,2.74,8929404.0
ABBV,2013-03-04,37.53,38.25,37.53,38.24,1.89,5421284.0
ABBV,2013-03-05,38.45,38.57,37.29,37.51,-2.44,6650520.0
ABBV,2013-03-06,37.56,37.86,37.37,37.74,0.47923,5490066.0
ABBV,2013-03-07,37.65,38.01,37.44,37.49,-0.42497,4442534.0
ABBV,2013-03-08,37.64,37.65,37.16,37.34,-0.79702,4114900.0
ABBV,2013-03-11,37.25,38.15,37.08,37.67,1.13,4614460.0
ABBV,2013-03-12,37.7,38.3,37.05,37.17,-1.41,6524376.0
ABBV,2013-03-13,37.2,37.5899,37.04,37.17,-0.08064516,3701492.0
ABBV,2013-03-14,37.43,37.59,36.86,37.56,0.34731,9864544.0
ABBV,2013-03-15,37.44,38.54,37.28,38.5,2.83,12209155.0
ABBV,2013-03-18,38.05,38.49,37.99,38.16,0.28909,5179492.0
ABBV,2013-03-19,38.25,38.4,37.84,38.36,0.28758,5108498.0
ABBV,2013-03-20,38.5,39.19,38.41,39.06,1.45,7073416.0
ABBV,2013-03-21,38.82,38.97,38.48,38.49,-0.85008,4738457.0
ABBV,2013-03-22,38.57,38.97,38.3,38.97,1.04,3323335.0
