ticker,date,open,high,low,close,difference,volume
CNS,2004-08-13,13.11,13.3,13.0,13.0,-0.83905,1693000.0
CNS,2004-08-16,13.0,13.07,13.0,13.05,0.38462,335200.0
CNS,2004-08-17,13.02,13.15,13.0,13.1,0.61444,149900.0
CNS,2004-08-18,13.1,13.75,13.1,13.75,4.96,285600.0
CNS,2004-08-19,13.75,14.15,13.7,14.15,2.91,279700.0
CNS,2004-08-20,14.05,14.2,13.91,14.0,-0.35587,219400.0
CNS,2004-08-23,14.1,14.2,13.93,14.1,0.0,98400.0
CNS,2004-08-24,14.0,14.08,13.9,13.95,-0.35714,78700.0
CNS,2004-08-25,14.0,14.09,13.9,14.09,0.64286,88200.0
CNS,2004-08-26,14.09,14.19,13.9,14.0,-0.63875,70500.0
CNS,2004-08-27,13.95,14.7,13.9,14.5,3.94,333300.0
CNS,2004-08-30,14.5,14.57,14.26,14.48,-0.13793,91800.0
CNS,2004-08-31,14.58,14.9,14.45,14.9,2.19,122700.0
CNS,2004-09-01,14.99,15.39,14.97,15.2,1.4,247300.0
CNS,2004-09-02,15.2,15.39,15.15,15.3,0.65789,74500.0
CNS,2004-09-03,15.3,15.3,15.15,15.15,-0.98039,54500.0
CNS,2004-09-07,15.2,15.3,15.08,15.15,-0.32895,65400.0
CNS,2004-09-08,15.2,15.25,15.02,15.2,0.0,45600.0
CNS,2004-09-09,15.1,15.2,15.05,15.2,0.66225,63800.0
CNS,2004-09-10,15.25,15.49,15.25,15.4,0.98361,134100.0
CNS,2004-09-13,15.5,15.73,15.45,15.5,0.0,94700.0
CNS,2004-09-14,15.6,15.6,15.34,15.47,-0.83333,50400.0
CNS,2004-09-15,15.3,15.49,15.05,15.4,0.65359,57200.0
CNS,2004-09-16,15.4,15.84,15.4,15.84,2.86,55800.0
CNS,2004-09-17,15.7,15.95,15.7,15.85,0.95541,39200.0
CNS,2004-09-20,15.75,16.03,15.66,15.75,0.0,112600.0
CNS,2004-09-21,15.8,15.99,15.76,15.97,1.08,165400.0
CNS,2004-09-22,15.98,16.0,15.77,15.9,-0.50063,96700.0
CNS,2004-09-23,15.8,15.92,15.8,15.92,0.75949,51700.0
CNS,2004-09-24,15.9,16.08,15.9,16.07,1.07,55900.0
CNS,2004-09-27,16.0,16.25,15.8,16.15,0.9375,134700.0
CNS,2004-09-28,16.15,16.46,15.95,16.16,0.0619195,129900.0
CNS,2004-09-29,16.16,16.16,15.64,15.91,-1.55,86700.0
CNS,2004-09-30,15.85,15.85,15.2,15.44,-2.59,297600.0
CNS,2004-10-01,15.5,15.55,14.7,15.54,0.25806,188900.0
CNS,2004-10-04,15.61,15.92,15.5,15.8,1.22,55500.0
