ticker,date,open,high,low,close,difference,volume
FAF,2010-05-21,32.94,34.07,32.65,33.96,3.1,1099022.0
FAF,2010-05-24,33.88,34.33,33.32,33.34,-1.59,655782.0
FAF,2010-05-25,33.01,33.44,32.34,33.33,0.9694,951028.0
FAF,2010-05-26,33.31,33.47,32.66,32.73,-1.74,1068073.0
FAF,2010-05-27,33.19,33.91,33.19,33.9,2.14,790277.0
FAF,2010-05-28,33.82,34.3,33.28,34.03,0.62093,780532.0
FAF,2010-06-01,33.96,34.13,32.84,32.84,-3.3,1303036.0
FAF,2010-06-02,15.045,15.74,13.84,14.48,-3.76,3494777.0
FAF,2010-06-03,14.52,14.64,13.78,13.83,-4.75,1938536.0
FAF,2010-06-04,13.82,13.88,13.21,13.73,-0.65123,1646571.0
FAF,2010-06-07,13.8,13.94,13.48,13.57,-1.67,1138753.0
FAF,2010-06-08,13.6,13.75,13.25,13.51,-0.66176,1763658.0
FAF,2010-06-09,13.6,13.65,12.94,12.99,-4.49,1753635.0
FAF,2010-06-10,12.9,13.1,12.03,12.31,-4.57,3346202.0
FAF,2010-06-11,12.27,13.25,12.15,13.11,6.85,1745141.0
FAF,2010-06-14,13.33,13.68,13.16,13.33,0.0,1595274.0
FAF,2010-06-15,13.32,13.6,13.13,13.21,-0.82583,1304912.0
FAF,2010-06-16,13.04,13.51,12.77,13.42,2.91,1251015.0
FAF,2010-06-17,13.59,13.59,13.27,13.49,-0.73584,678671.0
FAF,2010-06-18,13.51,13.7,13.34,13.48,-0.22206,1573468.0
FAF,2010-06-21,13.6,13.62,13.28,13.29,-2.28,1053618.0
FAF,2010-06-22,13.2,13.62,12.97,13.43,1.74,875309.0
FAF,2010-06-23,13.13,13.6,12.86,13.39,1.98,1174245.0
FAF,2010-06-24,13.2,13.44,13.08,13.26,0.45455,1104579.0
FAF,2010-06-25,13.27,13.71,13.01,13.67,3.01,8700025.0
FAF,2010-06-28,13.54,13.54,13.16,13.38,-1.18,1097307.0
FAF,2010-06-29,13.32,13.32,12.63,12.68,-4.8,999628.0
FAF,2010-06-30,12.61,13.14,12.61,12.68,0.55511,1169968.0
FAF,2010-07-01,12.63,12.7,11.9,12.65,0.15835,1007226.0
FAF,2010-07-02,12.76,13.14,12.4,12.98,1.72,977401.0
FAF,2010-07-06,13.21,13.49,12.98,13.06,-1.14,1364737.0
FAF,2010-07-07,13.12,13.6,13.12,13.57,3.43,937359.0
FAF,2010-07-08,13.83,13.83,13.34,13.58,-1.81,746496.0
FAF,2010-07-09,13.54,13.9,13.45,13.88,2.51,432927.0
FAF,2010-07-12,13.78,13.86,13.6,13.84,0.43541,362197.0
FAF,2010-07-13,13.99,14.35,13.91,14.24,1.79,1035009.0
FAF,2010-07-14,14.16,14.16,13.38,13.61,-3.88,921688.0
FAF,2010-07-15,13.77,13.77,12.75,13.5,-1.96,894464.0
FAF,2010-07-16,13.4,13.46,12.76,12.82,-4.33,978991.0
FAF,2010-07-19,12.8,13.06,12.36,13.03,1.8,764154.0
FAF,2010-07-20,12.9,13.59,12.41,13.59,5.35,1204223.0
