ticker,date,open,high,low,close,difference,volume
KO,1962-01-02,0.26302,0.27018,0.26302,0.26302,0.0,806400.0
KO,1962-01-03,0.25912,0.25912,0.25326,0.25716,-0.75641,1574400.0
KO,1962-01-04,0.25781,0.26107,0.25781,0.25912,0.50813,844800.0
KO,1962-01-05,0.25912,0.26237,0.2526,0.25326,-2.26,1420800.0
KO,1962-01-08,0.2513,0.2513,0.24577,0.25065,-0.25865,2035200.0
KO,1962-01-09,0.25065,0.25651,0.2487,0.25521,1.82,960000.0
KO,1962-01-10,0.25521,0.26009,0.2526,0.25651,0.50938,1612800.0
KO,1962-01-11,0.25651,0.25912,0.25521,0.25912,1.02,614400.0
KO,1962-01-12,0.25912,0.25912,0.25456,0.25716,-0.75641,883200.0
KO,1962-01-15,0.25651,0.25651,0.25391,0.25456,-0.7602,614400.0
KO,1962-01-16,0.25391,0.25391,0.24967,0.25,-1.54,1113600.0
KO,1962-01-17,0.25,0.25,0.24219,0.24219,-3.12,1574400.0
KO,1962-01-18,0.24219,0.24349,0.23633,0.23731,-2.01,2649600.0
KO,1962-01-19,0.23958,0.24479,0.23958,0.24479,2.17,1459200.0
KO,1962-01-22,0.24479,0.2474,0.24219,0.24675,0.80069,1075200.0
KO,1962-01-23,0.24609,0.24609,0.24154,0.24154,-1.85,768000.0
KO,1962-01-24,0.24154,0.24219,0.23438,0.23893,-1.08,2611200.0
KO,1962-01-25,0.23893,0.24284,0.23698,0.23698,-0.81614,1574400.0
KO,1962-01-26,0.23698,0.23698,0.23307,0.23438,-1.1,1574400.0
KO,1962-01-29,0.23438,0.23503,0.23372,0.23438,0.0,307200.0
KO,1962-01-30,0.23438,0.23633,0.2334,0.2334,-0.41812,1574400.0
KO,1962-01-31,0.23438,0.24284,0.23438,0.24284,3.61,1766400.0
KO,1962-02-01,0.24479,0.2487,0.24479,0.24479,0.0,1420800.0
KO,1962-02-02,0.24479,0.2474,0.24089,0.2474,1.07,1152000.0
KO,1962-02-05,0.2474,0.2474,0.24544,0.2474,0.0,384000.0
KO,1962-02-06,0.2474,0.2474,0.24414,0.24414,-1.32,691200.0
KO,1962-02-07,0.24414,0.24544,0.24414,0.24544,0.53248,192000.0
KO,1962-02-08,0.24544,0.2474,0.24284,0.24609,0.26483,768000.0
KO,1962-02-09,0.24609,0.2474,0.24479,0.2474,0.53233,729600.0
KO,1962-02-12,0.2474,0.24805,0.24544,0.24544,-0.79224,307200.0
KO,1962-02-13,0.24544,0.24675,0.24544,0.24544,0.0,652800.0
KO,1962-02-14,0.24544,0.24544,0.24089,0.24089,-1.85,652800.0
KO,1962-02-15,0.24089,0.24284,0.23958,0.23958,-0.54382,652800.0
KO,1962-02-16,0.23958,0.24414,0.23958,0.23958,0.0,1190400.0
KO,1962-02-19,0.24154,0.24349,0.24154,0.24349,0.80732,345600.0
KO,1962-02-20,0.24349,0.24414,0.24154,0.24219,-0.5339,460800.0
KO,1962-02-21,0.24219,0.24414,0.24089,0.24089,-0.53677,691200.0
KO,1962-02-23,0.24089,0.24414,0.23828,0.23828,-1.08,1036800.0
KO,1962-02-26,0.23828,0.24414,0.23698,0.24219,1.64,768000.0
KO,1962-02-27,0.24219,0.24414,0.24219,0.24349,0.53677,460800.0
KO,1962-02-28,0.24284,0.24284,0.23828,0.23893,-1.61,652800.0
KO,1962-03-01,0.23893,0.23893,0.23438,0.23763,-0.54409,19545600.0
KO,1962-03-02,0.23828,0.24023,0.23828,0.24023,0.81836,806400.0
KO,1962-03-05,0.24023,0.24023,0.23698,0.23698,-1.35,652800.0
KO,1962-03-06,0.23958,0.24219,0.23958,0.24219,1.09,883200.0
KO,1962-03-07,0.24219,0.24219,0.23893,0.23893,-1.35,691200.0
KO,1962-03-08,0.23893,0.24154,0.23828,0.23958,0.27205,883200.0
KO,1962-03-09,0.23958,0.24056,0.23503,0.23698,-1.09,1113600.0
KO,1962-03-12,0.23958,0.24219,0.23958,0.24219,1.09,998400.0
KO,1962-03-13,0.24251,0.24447,0.24251,0.24447,0.80821,1344000.0
KO,1962-03-14,0.24447,0.24544,0.24349,0.24479,0.1309,1689600.0
KO,1962-03-15,0.24479,0.24544,0.24349,0.24349,-0.53107,883200.0
KO,1962-03-16,0.24349,0.24447,0.24349,0.24349,0.0,768000.0
KO,1962-03-19,0.24349,0.24609,0.24349,0.24479,0.5339,921600.0
KO,1962-03-20,0.24479,0.2474,0.24479,0.2474,1.07,1305600.0
