ticker,date,open,high,low,close,difference,volume
RDN,1992-10-30,4.5625,4.90625,4.5625,4.75,4.11,14513600.0
RDN,1992-11-02,4.8125,5.0625,4.8125,5.0,3.9,3533600.0
RDN,1992-11-03,4.9375,5.0,4.875,4.90625,-0.63291,1505200.0
RDN,1992-11-04,4.90625,4.96875,4.875,4.90625,0.0,558000.0
RDN,1992-11-05,4.90625,5.125,4.90625,5.125,4.46,804800.0
RDN,1992-11-06,5.09375,5.125,5.03125,5.09375,0.0,435200.0
RDN,1992-11-09,5.09375,5.1875,5.09375,5.1875,1.84,592800.0
RDN,1992-11-10,5.21875,5.3125,5.125,5.15625,-1.2,660400.0
RDN,1992-11-11,5.1875,5.28125,5.1875,5.28125,1.81,462800.0
RDN,1992-11-12,5.28125,5.5625,5.25,5.53125,4.73,1310400.0
RDN,1992-11-13,5.5625,6.25,5.5625,6.0,7.87,1408000.0
RDN,1992-11-16,5.96875,6.34375,5.71875,5.75,-3.66,1239600.0
RDN,1992-11-17,5.78125,6.0625,5.75,5.8125,0.54054,351200.0
RDN,1992-11-18,5.78125,5.875,5.71875,5.84375,1.08,370400.0
RDN,1992-11-19,5.84375,5.84375,5.8125,5.8125,-0.53476,75200.0
RDN,1992-11-20,5.78125,6.0625,5.78125,5.96875,3.24,521600.0
RDN,1992-11-23,6.0,6.25,5.875,6.25,4.17,635200.0
RDN,1992-11-24,6.21875,6.21875,6.1875,6.1875,-0.50251,608000.0
RDN,1992-11-25,6.1875,6.21875,6.125,6.125,-1.01,123200.0
RDN,1992-11-27,6.1875,6.21875,6.15625,6.1875,0.0,200000.0
RDN,1992-11-30,6.125,6.1875,6.125,6.1875,1.02,495200.0
RDN,1992-12-01,6.15625,6.1875,6.125,6.125,-0.50761,216400.0
RDN,1992-12-02,6.0625,6.0625,5.8125,5.8125,-4.12,387200.0
RDN,1992-12-03,5.8125,5.8125,5.625,5.75,-1.08,425600.0
RDN,1992-12-04,5.75,6.09375,5.75,5.96875,3.8,477200.0
RDN,1992-12-07,6.03125,6.1875,6.0,6.1875,2.59,264000.0
RDN,1992-12-08,6.21875,6.25,6.03125,6.0625,-2.51,341200.0
RDN,1992-12-09,6.0,6.0,5.90625,5.90625,-1.56,271200.0
RDN,1992-12-10,5.9375,5.96875,5.8125,5.84375,-1.58,641200.0
RDN,1992-12-11,5.8125,5.84375,5.8125,5.84375,0.53763,204400.0
RDN,1992-12-14,5.84375,5.84375,5.6875,5.75,-1.6,157200.0
RDN,1992-12-15,5.78125,5.78125,5.625,5.625,-2.7,159600.0
RDN,1992-12-16,5.625,5.625,5.40625,5.5,-2.22,390000.0
RDN,1992-12-17,5.5625,5.875,5.5625,5.8125,4.49,127200.0
RDN,1992-12-18,5.875,5.96875,5.75,5.75,-2.13,391200.0
RDN,1992-12-21,5.6875,5.6875,5.4375,5.4375,-4.4,69600.0
RDN,1992-12-22,5.5,6.03125,5.5,6.03125,9.66,852800.0
RDN,1992-12-23,6.09375,6.28125,6.0625,6.25,2.56,900400.0
RDN,1992-12-24,6.1875,6.375,6.1875,6.25,1.01,283600.0
RDN,1992-12-28,6.25,6.375,6.125,6.125,-2.0,191200.0
RDN,1992-12-29,6.125,6.3125,6.125,6.25,2.04,411200.0
RDN,1992-12-30,6.28125,6.53125,6.25,6.4375,2.49,337600.0
RDN,1992-12-31,6.5,6.625,6.5,6.5625,0.96154,179600.0
RDN,1993-01-04,6.5,6.5,6.3125,6.40625,-1.44,198000.0
RDN,1993-01-05,6.4375,6.46875,6.3125,6.375,-0.97087,366000.0
RDN,1993-01-06,6.3125,6.375,6.3125,6.375,0.9901,818400.0
RDN,1993-01-07,6.375,6.40625,6.0625,6.0625,-4.9,1440400.0
RDN,1993-01-08,6.09375,6.09375,5.78125,5.90625,-3.08,569600.0
RDN,1993-01-11,5.875,6.3125,5.875,6.21875,5.85,367200.0
